,id,value,feed_id,created_at,lat,lon,ele
11710,0EZT74KS661WA5V9KG2N3G4FEB,"{""temp"": ""49"", ""humid"": ""50"", ""light"": ""51""}",1839383,2022-03-30 13:32:48 UTC,,,
11711,0EZT760GDA38KGD761ME1757EF,"{""temp"": ""49"", ""humid"": ""50"", ""light"": ""51""}",1839383,2022-03-30 13:35:15 UTC,,,
11754,0EZVDY1SGP16F9HCH0A1DR0VJY,"{""temp"": ""28.02"", ""humid"": ""44"", ""light"": ""145""}",1839383,2022-04-01 01:42:23 UTC,,,
11755,0EZVDY3WZVN2NY327A2BK951Y2,"{""temp"": ""28.02"", ""humid"": ""44"", ""light"": ""171""}",1839383,2022-04-01 01:42:30 UTC,,,
11756,0EZVDY62KCWAW2VPRHE1ANXTAN,"{""temp"": ""28.02"", ""humid"": ""44"", ""light"": ""147""}",1839383,2022-04-01 01:42:37 UTC,,,
11757,0EZVDY87WCC65TQHF7FTCP0ERX,"{""temp"": ""28.02"", ""humid"": ""44"", ""light"": ""333""}",1839383,2022-04-01 01:42:44 UTC,,,
11758,0EZVDYAD6GH7CJJYHQP56XT0QQ,"{""temp"": ""28.02"", ""humid"": ""44"", ""light"": ""148""}",1839383,2022-04-01 01:42:51 UTC,,,
11759,0EZVDYCJ8YT8BA5CJM47D2H439,"{""temp"": ""28.02"", ""humid"": ""44"", ""light"": ""333""}",1839383,2022-04-01 01:42:58 UTC,,,
11760,0EZVDYEQM7TS7VVAEG2Y2PP82T,"{""temp"": ""28.02"", ""humid"": ""44"", ""light"": ""211""}",1839383,2022-04-01 01:43:05 UTC,,,
11761,0EZVDYGX46WCTRFGX64GRR5C9J,"{""temp"": ""28.02"", ""humid"": ""43"", ""light"": ""153""}",1839383,2022-04-01 01:43:12 UTC,,,
11762,0EZVDYN7KGDYBZ422WQCQ56MPX,"{""temp"": ""28.02"", ""humid"": ""43"", ""light"": ""328""}",1839383,2022-04-01 01:43:26 UTC,,,
11763,0EZVDYQCWBTP2HXPMD2SYP4BP7,"{""temp"": ""28.02"", ""humid"": ""43"", ""light"": ""156""}",1839383,2022-04-01 01:43:33 UTC,,,
11764,0EZVDYSHG6TRP3ZXTARWRHB2SX,"{""temp"": ""28.01"", ""humid"": ""43"", ""light"": ""321""}",1839383,2022-04-01 01:43:40 UTC,,,
11765,0EZVDYVPV3ZMTZJXJK407HH22Y,"{""temp"": ""28.01"", ""humid"": ""43"", ""light"": ""158""}",1839383,2022-04-01 01:43:48 UTC,,,
11766,0EZVDYXW5JB1S23QBMZAPN06WX,"{""temp"": ""28.01"", ""humid"": ""42"", ""light"": ""288""}",1839383,2022-04-01 01:43:55 UTC,,,
11767,0EZVDZF5YD229M3PEZ6NSTFA93,"{""temp"": ""27.08"", ""humid"": ""42"", ""light"": ""258""}",1839383,2022-04-01 01:44:51 UTC,,,
11768,0EZVDZHB9941KVMNRGNCRJ5WSE,"{""temp"": ""27.08"", ""humid"": ""42"", ""light"": ""239""}",1839383,2022-04-01 01:44:58 UTC,,,
11769,0EZVE0FX80WXQR40VRPZMCKZB5,"{""temp"": ""27.05"", ""humid"": ""42"", ""light"": ""280""}",1839383,2022-04-01 01:46:39 UTC,,,
11770,0EZVE0JC28Y75XH6ZX1V999FZX,"{""temp"": ""27.04"", ""humid"": ""42"", ""light"": ""140""}",1839383,2022-04-01 01:46:47 UTC,,,
11771,0EZVE0KXQXCD23W3Z69PSCKY76,"{""temp"": ""27.04"", ""humid"": ""42"", ""light"": ""276""}",1839383,2022-04-01 01:46:52 UTC,,,
11772,0EZVE0P6AT60CWRHT7FJ95230Q,"{""temp"": ""27.04"", ""humid"": ""42"", ""light"": ""192""}",1839383,2022-04-01 01:46:59 UTC,,,
11773,0EZVE0R905KSBRPDFCV0NVNQCW,"{""temp"": ""27.04"", ""humid"": ""42"", ""light"": ""162""}",1839383,2022-04-01 01:47:06 UTC,,,
11774,0EZVE0TDQ3EEC3XQBKPXB6P486,"{""temp"": ""27.03"", ""humid"": ""42"", ""light"": ""140""}",1839383,2022-04-01 01:47:13 UTC,,,
11775,0EZVE0WK17471H4QD1NFSKT3V8,"{""temp"": ""27.03"", ""humid"": ""42"", ""light"": ""142""}",1839383,2022-04-01 01:47:20 UTC,,,
11776,0EZVE0YRDQVRXJ3CXJTZ36B2R2,"{""temp"": ""27.03"", ""humid"": ""42"", ""light"": ""144""}",1839383,2022-04-01 01:47:27 UTC,,,
11777,0EZVE6K10W8M2DNAQE1S3Z0FTS,"{""temp"": ""27.09"", ""humid"": ""42"", ""light"": ""381""}",1839383,2022-04-01 01:57:18 UTC,,,
11778,0EZVE6N3XFYRHN9PQDDYHZV3XB,"{""temp"": ""27.09"", ""humid"": ""41"", ""light"": ""313""}",1839383,2022-04-01 01:57:25 UTC,,,
11779,0EZVE6Q9X6G7GT8282JN2WYP3H,"{""temp"": ""27.09"", ""humid"": ""41"", ""light"": ""313""}",1839383,2022-04-01 01:57:32 UTC,,,
11780,0EZVE6SF6DYNFRFYF2MXPM2VZT,"{""temp"": ""27.08"", ""humid"": ""41"", ""light"": ""395""}",1839383,2022-04-01 01:57:39 UTC,,,
11781,0EZVE6VMKKJVV2N2M8M39QBMJ5,"{""temp"": ""27.08"", ""humid"": ""41"", ""light"": ""428""}",1839383,2022-04-01 01:57:46 UTC,,,
11782,0EZVE6XSXCT7N626PQN6MP0SNM,"{""temp"": ""27.08"", ""humid"": ""41"", ""light"": ""390""}",1839383,2022-04-01 01:57:53 UTC,,,
11783,0EZVE6ZZ8803A9S1K9FEG95BPV,"{""temp"": ""27.08"", ""humid"": ""41"", ""light"": ""380""}",1839383,2022-04-01 01:58:00 UTC,,,
11784,0EZVE724HYM1Z2PBHDE70DSTVY,"{""temp"": ""27.08"", ""humid"": ""41"", ""light"": ""425""}",1839383,2022-04-01 01:58:07 UTC,,,
11785,0EZVE749VYPH5MZBEEBHW0QWF0,"{""temp"": ""27.07"", ""humid"": ""41"", ""light"": ""391""}",1839383,2022-04-01 01:58:15 UTC,,,
11786,0EZVE76FTBB6F95G8BHZ9MXDVC,"{""temp"": ""27.07"", ""humid"": ""41"", ""light"": ""397""}",1839383,2022-04-01 01:58:22 UTC,,,
11787,0EZVE78N3ZPPS9XXW0M1MF2MBR,"{""temp"": ""27.07"", ""humid"": ""41"", ""light"": ""379""}",1839383,2022-04-01 01:58:29 UTC,,,
11788,0EZVE7ATDZ74ZAB88XDQHJQXA8,"{""temp"": ""27.07"", ""humid"": ""41"", ""light"": ""428""}",1839383,2022-04-01 01:58:36 UTC,,,
11789,0EZVE7CZST7Z20KWM7WNFF2NJD,"{""temp"": ""27.07"", ""humid"": ""41"", ""light"": ""391""}",1839383,2022-04-01 01:58:43 UTC,,,
11790,0EZVE7F5Q11FX21FPX3ADV3HR5,"{""temp"": ""27.07"", ""humid"": ""41"", ""light"": ""395""}",1839383,2022-04-01 01:58:50 UTC,,,
11791,0EZVE7HB125T4Q82NJXQ3WCF3Q,"{""temp"": ""27.07"", ""humid"": ""41"", ""light"": ""379""}",1839383,2022-04-01 01:58:57 UTC,,,
11792,0EZVE7KGG4459A98FBWRWRAG7Q,"{""temp"": ""27.07"", ""humid"": ""41"", ""light"": ""425""}",1839383,2022-04-01 01:59:04 UTC,,,
11793,0EZVE7NNNMCQJWVZT9DDHHPE06,"{""temp"": ""27.07"", ""humid"": ""41"", ""light"": ""396""}",1839383,2022-04-01 01:59:11 UTC,,,
11794,0EZVE7VMVACW87RTAX1HRX8F4D,"{""temp"": ""27.07"", ""humid"": ""41"", ""light"": ""308""}",1839383,2022-04-01 01:59:31 UTC,,,
11795,0EZVE800225DKVSWBX9CB09C2V,"{""temp"": ""27.06"", ""humid"": ""41"", ""light"": ""308""}",1839383,2022-04-01 01:59:45 UTC,,,
11796,0EZVE825CYNCVASEABSK5WGH1X,"{""temp"": ""27.06"", ""humid"": ""41"", ""light"": ""381""}",1839383,2022-04-01 01:59:52 UTC,,,
11797,0EZVE84BCNQ3X42Y6K2QSAQGFC,"{""temp"": ""27.07"", ""humid"": ""43"", ""light"": ""337""}",1839383,2022-04-01 02:00:00 UTC,,,
11798,0EZVE86GPC88AK0DDVVYE9Y5YA,"{""temp"": ""27.08"", ""humid"": ""45"", ""light"": ""391""}",1839383,2022-04-01 02:00:07 UTC,,,
